n,tier,register_status,provenance,title,authors,venue,year,identifier,pmid,pmcid,verification,source,correction,novelty_risk
11,TIER 1,VERIFIED,ZHU,Addressing benchmarking gaps in large language models for health and medicine with dynamic red-teaming,Pan J; Jian B; Hager P; Zhang Y; Liu C; Jungmann F; Li HB; Canisius J; You C; Wu J; Zhu J; Liu F; Liu Y; Bubeck N; Knolle M; Chen C; Wachinger C; Gong Z; Ouyang C; Kaissis G; Wiestler B; Rueckert D,Nature Health,2026.0,10.1038/s44360-026-00152-8,,,VERIFIED,OpenAlex,"Confirmed 15 Jul 2026, 22 authors. Introduces DAS (Dynamic, Automatic, Systematic) red-teaming across robustness/privacy/bias/hallucination; 15 LLMs; median MedQA >80% yet 94% of previously-correct answers failed under dynamic robustness testing; validated against board-certified clinicians. Register records none of these numbers. | 18 Aug: complete 22-author list retrieved from Crossref; register held a truncated form (Pan J, Jian B, Hager P, Zhang Y, Liu C, ...).","HIGH - structurally closest published work to the dual-agent pressure design, and it names the 'benchmarking gap' explicitly. The 94% figure is far more dramatic than anything you will report."
101,TIER 2,VERIFIED,ZHU,Toward a test of medical AI superintelligence,Goh E; Wu D; Walton C; McCoy LG; Perez A; Wegner L; Nateghi Haredasht F; Luo L; Lacar K; Buckley T; Schoeffler A; Brodeur P; Black KC; Havlik J; Liu Y; Chen PC; Schaekermann M; Rumsfeld J; Lopez-Martinez D; Maeder-York P; Singhal K; Gunning D; Ku B; Warraich H; Nundy S; Ravi V; Milstein A; Hom J; Schulman K; Rajpurkar P; Manrai AK; Wachter R; Topol E; Horvitz E; Rodman A; Chen JH,Nature Medicine,2026.0,10.1038/s41591-026-04539-8,,,VERIFIED,OpenAlex/arXiv,"36 authors confirmed. | 18 Aug: complete 36-author list retrieved from Crossref; register held a truncated form (Goh E, Wu D, Walton C, McCoy LG (+32)...).",
102,TIER 2,LINK-ONLY,ZHU,How to benchmark medical AI agents,"Ruhrberg Estevez S, Ferber D, van der Schaar M, Kather JN",PLOS Medicine,2026.0,10.1371/journal.pmed.1005170,,,VERIFIED,OpenAlex/arXiv,"Promote to VERIFIED. Argues benchmarks must assess clinical reasoning, process safety and RESOURCE STEWARDSHIP rather than task accuracy - direct support for your stewardship framing.",
103,TIER 2,LINK-ONLY,ZHU,"A Proposed S.C.O.R.E. Evaluation Framework for Large Language Models: Safety, Consensus, Objectivity, Reproducibility, Explainability",Ting Fang Tan; Kabilan Elangovan; Jasmine Ong; Nigam Shah; Joseph Sung; Tien Yin Wong; Lan Xue; Nan Liu; Haibo Wang; Chang Fu Kuo; Simon Chesterman; Zee Kin Yeong; Daniel SW Ting,arXiv,2024.0,10.48550/arxiv.2407.07666,,,VERIFIED,OpenAlex/arXiv,"RESOLVED - register had only a cell.com homepage stub. Actual item is the 2024 S.C.O.R.E. preprint, arXiv:2407.07666, 13 authors (Tan TF et al., incl. Nigam Shah, Tien Yin Wong). 18 Aug: full author list retrieved.",
104,TIER 2,LINK-ONLY,ZHU,CardioBench: A Real-World Data Benchmark for Evaluating LLMs in Clinically Authentic Cardiovascular Care Scenarios,Xiao Li; Mouxiao Bian; Zhaodi Wu; Sijie Ren; Juechen Chen; Lu Lu; Jingru Ding; Yun Zhong; Jie Xu; Yixiu Liang; Junbo Ge,arXiv,2026.0,arXiv:2607.25186,,,VERIFIED,OpenAlex/arXiv,"v2. 2,263 items, 13 task-specific datasets from de-identified records, 16 cardiology physicians annotating. | 18 Aug: complete 11-author list retrieved from arXiv; register held a truncated form (Li X, Bian M, Wu Z, Ren S, Chen J (+6)...).",
105,TIER 2,LINK-ONLY,ZHU,Small language models in medicine,Qin Y; Yan T; Wong MYH; Srinivasan S; Zhou H; Eils R; Tham Y; Shah NH; Wu J; Wang H; Wong TY,Nature Biomedical Engineering,2026.0,10.1038/s41551-026-01734-3,,,VERIFIED,Crossref bibliographic search,"RESOLVED 18 Aug from the share.google redirect that would not expand. Exact title-and-venue match, 11 authors (Qin Y ... Wong TY). Promoted from FLAGGED-UNRESOLVED.","DIRECTLY RELEVANT - the pilot runs a 4B model, which is exactly this paper's subject. Read it before the presentation: it is the natural source for realistic small-model performance ceilings, and a reviewer will expect it cited when you justify 4B rather than frontier scale."
106,TIER 2,LINK-ONLY,ZHU,Large reasoning models as thinking machines for medicine,Zhou H; Rodman A; Liu P; Rajpurkar P; Hu TY; Wong TY; Topol EJ,Nature Biomedical Engineering,2026.0,10.1038/s41551-026-01701-y,,,VERIFIED,Crossref bibliographic search,"RESOLVED 18 Aug from the share.google redirect. Exact title-and-venue match, 7 authors (Zhou H, Rodman A, Liu P, Rajpurkar P, Hu TY, Wong TY, Topol EJ). Promoted from FLAGGED-UNRESOLVED.",Reasoning-model framing; Topol/Rajpurkar authorship makes it a likely reference point in questions.
107,TIER 2,LINK-ONLY,ZHU,A fundamental flaw leaves LLMs strikingly vulnerable to attack,(MIT Tech Review),MIT Technology Review,2026.0,,,,FLAGGED-UNRESOLVED,OpenAlex/arXiv,"Trade press (MIT Technology Review), no DOI, no author attribution retrievable. Under this register's two-state rule a partially resolved item is FLAGGED-UNRESOLVED: the previous 'VERIFIED-NONACADEMIC' label was a third state and is not permitted. DO NOT CITE. If the underlying result is wanted, cite the primary paper the article reports on, not the article.",
108,TIER 2,VERIFIED,ZHU,Privacy risks from medical AI tools are not shared equally,"Zhang H, Ghassemi M",Nature (news/comment),2026.0,10.1038/d41586-026-02288-9,,,VERIFIED,OpenAlex/arXiv,"d41586 prefix = Nature news/comment, not a research article. Cite as comment.",
109,TIER 2,VERIFIED,ZHU,"Artificial intelligence in drug discovery - what it is, where we stand and the path forward",Bender A; Thomas MC; Scannell JW; Shaywitz DA; Ghiandoni GM; Greener JG; Pruteanu L; Jacobson RD; Handa K; Hirano M; Seal S; Mahale M; Schmidt MF; Ahfeldt T; Grisoni F; Cortes-Ciriano I,Nature Reviews Drug Discovery,2026.0,10.1038/s41573-026-01496-2,,,VERIFIED,OpenAlex/arXiv,"16 authors. This is the review Munib quoted. | 18 Aug: complete 16-author list retrieved from Crossref; register held a truncated form (Bender A, Thomas M, Scannell JW, Shaywit...).",
110,TIER 2,LINK-ONLY,ZHU,An AI agent for treatment reasoning over a biomedical tool universe (ATHENA-R1),Shanghua Gao; Ayush Noori; Richard Zhu; Curtis Ginder; Zhenglun Kong; Xiaorui Su; Justin Kauffman; Benjamin S. Glicksberg; Joshua Lampert; Ankit Sakhuja; Ashwin Sawant; ATHENA-R1 Evaluation Consortium; David A. Clifton; Noa Dagan; Ran Balicer; Marinka Zitnik,arXiv,2026.0,arXiv:2606.28692,,,VERIFIED,OpenAlex/arXiv,"ATHENA-R1: RL over 212 biomedical tools, all FDA-approved drugs since 1939. Harvard/MIMS. THE RL-to-LLM substitution comparator. | 18 Aug: complete 16-author list retrieved from arXiv; register held a truncated form (Gao S, Noori A, Zhu R, Ginder C, Kong Z ...).",
111,TIER 2,LINK-ONLY,ZHU,PatientAgentBench: A Benchmark Framework for Evaluating Patient-Facing Health AI Agents,Korosh Vatanparvar; Ashutosh Joshi; Maria Xenochristou; Mohammad Abuzar Hashemi; Prasad Kasu; Deepak Bansal; Daniel Lopez-Martinez; Anchal Nema; Ramya Ganesan; Will Kimbrough; Alex Woody; Yadunandana Rao; Dilek Hakkani-Tur; Wilko Schulz-Mahlendorf,arXiv,2026.0,arXiv:2607.25485,,,VERIFIED,OpenAlex/arXiv,"Amazon Science. Patient-facing, not clinician-facing - different axis from yours. | 18 Aug: complete 14-author list retrieved from arXiv; register held a truncated form (Vatanparvar K, Joshi A, Xenochristou M, ...).",
112,TIER 2,LINK-ONLY,ZHU,LongMedBench: Benchmarking Medical Agents for Long-Horizon Clinical Decision-Making,Zihan Xu; Yanzhen Chen; Xiaocheng Zhang; Zhiting Fan; Weiqi Zhai; Hongxia Xu; Zuozhu Liu,arXiv (MICCAI 2026 submission),2026.0,arXiv:2607.09322,,,VERIFIED,OpenAlex/arXiv,"v2. BUILT ON MIMIC-IV admission records and clinical notes - the closest methodological neighbour for your cohort construction. | 18 Aug: complete 7-author list retrieved from arXiv; register held a truncated form (Xu Z, Chen Y, Zhang X, Fan Z, Zhai W (+2...).",
113,TIER 2,LINK-ONLY,ZHU,GraphDx: A Cost-Aware Knowledge-Enhanced Multi-Agent Framework for Sequential Diagnosis,Shaoting Tan; Ning Liu; Yuntao Du; Shuyue Wei; Wu Shuai; Qian Li; Yanyu Xu; Wei Zhang; Lizhen Cui; Haitao Yuan,arXiv,2026.0,arXiv:2607.15280,,,VERIFIED,OpenAlex/arXiv,"Cost-aware sequential diagnosis; knowledge-reasoning gap; excessive testing under cost constraints. | 18 Aug: complete 10-author list retrieved from arXiv; register held a truncated form (Tan S, Liu N, Du Y, Wei S, Shuai W (+5)...).",
114,TIER 2,LINK-ONLY,ZHU,CARE-ECG: Causal Agent-based Reasoning for Explainable and Counterfactual ECG Interpretation,Elahe Khatibi; Ziyu Wang; Ankita Sharma; Krishnendu Chakrabarty; Sanaz Rahimi Moosavi; Farshad Firouzi; Amir Rahmani,arXiv,2026.0,arXiv:2604.10420,,,VERIFIED,OpenAlex/arXiv,"ECG modality - off your axis. Tier 3 at most. | 18 Aug: complete 7-author list retrieved from arXiv; register held a truncated form (Khatibi E, Wang Z, Sharma A, Chakrabarty...).",
115,TIER 2,LINK-ONLY,ZHU,Clinical large language model centered on electronic medical records,Zhuang Y; Wang B; Yin C; Zhang J; Meng F; Zhao J; Su Q; Zhao X; Li X; Hu P; Liu S; Wu R; Hua Y; Dong W; Wei B; Zhang L; Zheng L; Conde J; Shi G; Feng C; He K,npj Digital Medicine,2026.0,10.1038/s41746-026-02509-5,,,VERIFIED,OpenAlex/arXiv,"21 authors. | 18 Aug: complete 21-author list retrieved from Crossref; register held a truncated form (Zhuang Y, Wang B, Yin C, Zhang J (+17)...).",
116,TIER 2,LINK-ONLY,ZHU,Clinical-RLVR: Open-Ended Clinical Text Generation for Acute Care,(unresolved),(unresolved),,,,,FLAGGED-UNRESOLVED,OpenAlex/arXiv,share.google redirect will not expand; no exact match found. DO NOT CITE.,
117,TIER 2,LINK-ONLY,ZHU,Tutorial: guidance on the use of large language models for medical research,Jin Q; Wan N; Leaman R; Tian S; Wang Z; Yang Y; Wang Z; Xiong G; Lai P; Zhu Q; Hou B; Sarfo-Gyamfi M; Zhang G; Gilson A; Bhasuran B; He Z; Zhang A; Sun J; Weng C; Summers RM; Chen Q; Peng Y; Lu Z,Nature Protocols,2026.0,10.1038/s41596-026-01408-z,,,VERIFIED,OpenAlex/arXiv,"23 authors. NLM/NCBI group. | 18 Aug: complete 23-author list retrieved from Crossref; register held a truncated form (Jin Q, Wan N, Leaman R, Tian S (+19)...).",
118,TIER 2,LINK-ONLY,ZHU,Large language model driven multicenter prediction and explainable risk attribution of acute kidney injury,Xu L; Yan K; Zhang Z; Liang H; Ruan Y; Xu D; Tang L; Zhao T; Zhou Q; Zhao Y; Zhang Y; Zhou F; Zhou G; Yang Z; Chen X; Shen Y; Feng Y; Li G; Wang L; Lv J; Wang P; Zheng X; Yang L,Nature Communications,2026.0,10.1038/s41467-026-76029-x,,,VERIFIED,OpenAlex/arXiv,"23 authors. | 18 Aug: complete 23-author list retrieved from Crossref; register held a truncated form (Xu LW, Yan K, Zhang Z, Liang H (+19)...).",
119,TIER 2,LINK-ONLY,ZHU,Evaluating large language models for assessment of psychosis risk,Zhu T; Tashevski A; Taquet M; Azis M; Jani T; Broome MR; Kabir T; Minichino A; Murray GK; Nour MM; Singh I; Fusar-Poli P; Nevado-Holgado A; McGuire P; Oliver D,npj Digital Medicine,2026.0,10.1038/s41746-026-02928-4,,,VERIFIED,OpenAlex/arXiv,"CHR-P early detection; specialist interpretation of narrative interviews. NOTE first author Taiyu Zhu - not your supervisor. | 18 Aug: complete 15-author list retrieved from Crossref; register held a truncated form (Zhu T, Tashevski A, Taquet M, Azis M (+1...).",
120,TIER 2,LINK-ONLY,ZHU,Benchmarking and developing large language models using one million clinical trials,Wang Z; Lin J; Jin Q; Gao J; Pradeepkumar J; Jiang P; Lu Z; Sun J,npj Digital Medicine,2026.0,10.1038/s41746-026-02933-7,,,VERIFIED,OpenAlex/arXiv,"1.6M clinical trial records from fifteen sources. | 18 Aug: complete 8-author list retrieved from Crossref; register held a truncated form (Wang Z, Lin J, Jin Q, Gao J (+4)...).",
121,TIER 2,LINK-ONLY,ZHU,Clear by Design: Consensus-Based Transparency Practices to Foster Trust in Health AI,Lehmann LS; Overgaard S; Saria S; Jenders R; Saenz A; Duron Y; Moreno R; Brereton T; Liza FF; Hill B; Lukac P; Berin J; Ridge S; Van Der Vegt A; Elmore M; Economou-Zavlanos N,American Journal of Bioethics,2026.0,10.1080/15265161.2026.2699626,,,VERIFIED,OpenAlex/arXiv,"16 authors. | 18 Aug: complete 16-author list retrieved from Crossref; register held a truncated form (Lehmann LS, Overgaard S, Saria S, Jender...).",
122,TIER 2,LINK-ONLY,ZHU,A Safety-First Approach to Health AI,Economou-Zavlanos NJ; Garwood ER; Saria S; Bates D; Wong AI; Elmore M; Weir R; Ford T; Gormley K; Jackson C; Yang H; Laufer I; Hanes L; Huff S; Kotecha A; Kenny RG; Montgomery T; Fleisher L,American Journal of Bioethics,2026.0,10.1080/15265161.2026.2699622,,,VERIFIED,OpenAlex/arXiv,"18 authors. Companion to #21. | 18 Aug: complete 18-author list retrieved from Crossref; register held a truncated form (Economou-Zavlanos N, Garwood ER, Saria S...).",
123,TIER 2,LINK-ONLY,ZHU,Trustworthy AI Suffers from Invariance Conflicts and Causality is The Solution,Ruta Binkyte; Ivaxi Sheth; Zhijing Jin; Mohammad Havaei; Bernhard Schölkopf; Mario Fritz,arXiv,2026.0,arXiv:2605.02640,,,VERIFIED,OpenAlex/arXiv,"v2. Position paper: fairness/robustness/privacy/explainability cannot be jointly satisfied - incompatibility framing. | 18 Aug: complete 6-author list retrieved from arXiv; register held a truncated form (Binkyte R, Sheth I, Jin Z, Havaei M, Sch...).",
124,TIER 2,LINK-ONLY,ZHU,MedCoach: Enhancing Medical Reasoning in LLMs via Knowledge Graph-Augmented Chain-of-Thought,Li C; Lyu Y; Wang C; Fan M; Chen C,ACL 2026 Findings,2026.0,10.18653/v1/2026.findings-acl.1683,,,VERIFIED,OpenAlex/arXiv,"RESOLVED to ACL 2026 Findings DOI 10.18653/v1/2026.findings-acl.1683. 18 Aug: 5-author list confirmed (Li C, Lyu Y, Wang C, Fan M, Chen C).",
125,TIER 2,LINK-ONLY,ZHU,LLM can't jump! (Google position paper),(TBC),OpenReview,,,,,FLAGGED-UNRESOLVED,OpenAlex/arXiv,OpenReview forum id klU4737opt; no indexed record. Verify venue before citing.,
126,TIER 2,VERIFIED,PROJECT,"Think Consistently, Reason Efficiently: Energy-Based Calibration for Implicit Chain-of-Thought",Zhikang Chen; Sen Cui; Deheng Ye; Yu Zhang; Yatao Bian; Tingting Zhu,arXiv,2025.0,arXiv:2511.07124,,,VERIFIED,OpenAlex/arXiv,"EBM-CoT. Zhikang Chen, your own group. Latent-space implicit reasoning, energy-based calibration. | 18 Aug: complete 6-author list retrieved from arXiv; register held a truncated form (Chen Z, Cui S, Ye D, Zhang Y, Bian Y (+1...).",
127,TIER 2,LINK-ONLY,PROJECT,DTR-Bench: An in silico Environment and Benchmark Platform for RL-Based Dynamic Treatment Regimes,Zhiyao Luo; Mingcheng Zhu; Fenglin Liu; Jiali Li; Yangchen Pan; Jiandong Zhou; Tingting Zhu,arXiv,2024.0,10.48550/arxiv.2405.18610,,,VERIFIED,OpenAlex/arXiv,"RESOLVED - register had no identifier. arXiv:2405.18610 / DOI 10.48550/arxiv.2405.18610. 18 Aug: 7-author list confirmed - Luo Z, Zhu M, Liu F, Li J, Pan Y, Zhou J, ZHU T as senior author. This is AI4DH lab work with your supervisor as last author: cite it as the group's own RL-for-treatment baseline, not as generic prior art.",
