agent,frame,n_cases,n_adequate,pct_of_all,n_tested,pct_of_tested,n_undetermined,pct_undetermined,n_inadequate,n_intermediate_only,cfg_fingerprint,source,frame_definition
ampicillin,A_entero_all_cohort_3104,3104,881,28.4,1952,45.1,1152,37.1,1053,18,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,"every pathogenic isolate Enterobacterales; frozen cohort 7,796; NO admission-link gate; NO prior-therapy gate"
levofloxacin,A_entero_all_cohort_3104,3104,46,1.5,54,85.2,3050,98.3,3,5,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,"every pathogenic isolate Enterobacterales; frozen cohort 7,796; NO admission-link gate; NO prior-therapy gate"
daptomycin,A_entero_all_cohort_3104,3104,0,0.0,0,,3104,100.0,0,0,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,"every pathogenic isolate Enterobacterales; frozen cohort 7,796; NO admission-link gate; NO prior-therapy gate"
linezolid,A_entero_all_cohort_3104,3104,0,0.0,0,,3104,100.0,0,0,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,"every pathogenic isolate Enterobacterales; frozen cohort 7,796; NO admission-link gate; NO prior-therapy gate"
oxacillin,A_entero_all_cohort_3104,3104,0,0.0,0,,3104,100.0,0,0,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,"every pathogenic isolate Enterobacterales; frozen cohort 7,796; NO admission-link gate; NO prior-therapy gate"
penicillin-g,A_entero_all_cohort_3104,3104,0,0.0,0,,3104,100.0,0,0,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,"every pathogenic isolate Enterobacterales; frozen cohort 7,796; NO admission-link gate; NO prior-therapy gate"
vancomycin,A_entero_all_cohort_3104,3104,0,0.0,0,,3104,100.0,0,0,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,"every pathogenic isolate Enterobacterales; frozen cohort 7,796; NO admission-link gate; NO prior-therapy gate"
meropenem,B_primary_frame_993,993,973,98.0,978,99.5,15,1.5,4,1,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,PRIMARY SAMPLING FRAME: Enterobacterales AND admission-linked AND NOT sustained prior therapy
piperacillin-tazobactam,B_primary_frame_993,993,872,87.8,948,92.0,45,4.5,43,33,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,PRIMARY SAMPLING FRAME: Enterobacterales AND admission-linked AND NOT sustained prior therapy
gentamicin,B_primary_frame_993,993,858,86.4,983,87.3,10,1.0,113,12,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,PRIMARY SAMPLING FRAME: Enterobacterales AND admission-linked AND NOT sustained prior therapy
ceftazidime,B_primary_frame_993,993,811,81.7,984,82.4,9,0.9,137,36,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,PRIMARY SAMPLING FRAME: Enterobacterales AND admission-linked AND NOT sustained prior therapy
cefepime,B_primary_frame_993,993,807,81.3,980,82.3,13,1.3,154,19,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,PRIMARY SAMPLING FRAME: Enterobacterales AND admission-linked AND NOT sustained prior therapy
ceftriaxone,B_primary_frame_993,993,767,77.2,986,77.8,7,0.7,213,6,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,PRIMARY SAMPLING FRAME: Enterobacterales AND admission-linked AND NOT sustained prior therapy
trimethoprim-sulfamethoxazole,B_primary_frame_993,993,742,74.7,993,74.7,0,0.0,251,0,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,PRIMARY SAMPLING FRAME: Enterobacterales AND admission-linked AND NOT sustained prior therapy
ciprofloxacin,B_primary_frame_993,993,697,70.2,990,70.4,3,0.3,277,16,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,PRIMARY SAMPLING FRAME: Enterobacterales AND admission-linked AND NOT sustained prior therapy
cefazolin,B_primary_frame_993,993,519,52.3,755,68.7,238,24.0,233,3,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,PRIMARY SAMPLING FRAME: Enterobacterales AND admission-linked AND NOT sustained prior therapy
ampicillin-sulbactam,B_primary_frame_993,993,443,44.6,767,57.8,226,22.8,227,97,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,PRIMARY SAMPLING FRAME: Enterobacterales AND admission-linked AND NOT sustained prior therapy
ampicillin,B_primary_frame_993,993,228,23.0,551,41.4,442,44.5,320,3,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,PRIMARY SAMPLING FRAME: Enterobacterales AND admission-linked AND NOT sustained prior therapy
levofloxacin,B_primary_frame_993,993,12,1.2,14,85.7,979,98.6,1,1,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,PRIMARY SAMPLING FRAME: Enterobacterales AND admission-linked AND NOT sustained prior therapy
daptomycin,B_primary_frame_993,993,0,0.0,0,,993,100.0,0,0,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,PRIMARY SAMPLING FRAME: Enterobacterales AND admission-linked AND NOT sustained prior therapy
linezolid,B_primary_frame_993,993,0,0.0,0,,993,100.0,0,0,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,PRIMARY SAMPLING FRAME: Enterobacterales AND admission-linked AND NOT sustained prior therapy
oxacillin,B_primary_frame_993,993,0,0.0,0,,993,100.0,0,0,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,PRIMARY SAMPLING FRAME: Enterobacterales AND admission-linked AND NOT sustained prior therapy
penicillin-g,B_primary_frame_993,993,0,0.0,0,,993,100.0,0,0,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,PRIMARY SAMPLING FRAME: Enterobacterales AND admission-linked AND NOT sustained prior therapy
vancomycin,B_primary_frame_993,993,0,0.0,0,,993,100.0,0,0,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,PRIMARY SAMPLING FRAME: Enterobacterales AND admission-linked AND NOT sustained prior therapy
meropenem,C_sampled_200,200,192,96.0,194,99.0,6,3.0,2,0,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,"the 200 cases drawn from B by DR.select(frame,200,sample=True,panel=panel), seed 20260818 - the cases actually run"
piperacillin-tazobactam,C_sampled_200,200,175,87.5,192,91.1,8,4.0,12,5,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,"the 200 cases drawn from B by DR.select(frame,200,sample=True,panel=panel), seed 20260818 - the cases actually run"
gentamicin,C_sampled_200,200,171,85.5,195,87.7,5,2.5,22,2,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,"the 200 cases drawn from B by DR.select(frame,200,sample=True,panel=panel), seed 20260818 - the cases actually run"
cefepime,C_sampled_200,200,159,79.5,195,81.5,5,2.5,31,5,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,"the 200 cases drawn from B by DR.select(frame,200,sample=True,panel=panel), seed 20260818 - the cases actually run"
ceftazidime,C_sampled_200,200,159,79.5,195,81.5,5,2.5,26,10,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,"the 200 cases drawn from B by DR.select(frame,200,sample=True,panel=panel), seed 20260818 - the cases actually run"
ceftriaxone,C_sampled_200,200,152,76.0,199,76.4,1,0.5,45,2,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,"the 200 cases drawn from B by DR.select(frame,200,sample=True,panel=panel), seed 20260818 - the cases actually run"
trimethoprim-sulfamethoxazole,C_sampled_200,200,148,74.0,200,74.0,0,0.0,52,0,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,"the 200 cases drawn from B by DR.select(frame,200,sample=True,panel=panel), seed 20260818 - the cases actually run"
ciprofloxacin,C_sampled_200,200,130,65.0,198,65.7,2,1.0,63,5,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,"the 200 cases drawn from B by DR.select(frame,200,sample=True,panel=panel), seed 20260818 - the cases actually run"
cefazolin,C_sampled_200,200,101,50.5,155,65.2,45,22.5,54,0,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,"the 200 cases drawn from B by DR.select(frame,200,sample=True,panel=panel), seed 20260818 - the cases actually run"
ampicillin-sulbactam,C_sampled_200,200,81,40.5,156,51.9,44,22.0,55,20,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,"the 200 cases drawn from B by DR.select(frame,200,sample=True,panel=panel), seed 20260818 - the cases actually run"
ampicillin,C_sampled_200,200,51,25.5,126,40.5,74,37.0,73,2,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,"the 200 cases drawn from B by DR.select(frame,200,sample=True,panel=panel), seed 20260818 - the cases actually run"
levofloxacin,C_sampled_200,200,4,2.0,5,80.0,195,97.5,0,1,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,"the 200 cases drawn from B by DR.select(frame,200,sample=True,panel=panel), seed 20260818 - the cases actually run"
daptomycin,C_sampled_200,200,0,0.0,0,,200,100.0,0,0,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,"the 200 cases drawn from B by DR.select(frame,200,sample=True,panel=panel), seed 20260818 - the cases actually run"
linezolid,C_sampled_200,200,0,0.0,0,,200,100.0,0,0,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,"the 200 cases drawn from B by DR.select(frame,200,sample=True,panel=panel), seed 20260818 - the cases actually run"
oxacillin,C_sampled_200,200,0,0.0,0,,200,100.0,0,0,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,"the 200 cases drawn from B by DR.select(frame,200,sample=True,panel=panel), seed 20260818 - the cases actually run"
penicillin-g,C_sampled_200,200,0,0.0,0,,200,100.0,0,0,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,"the 200 cases drawn from B by DR.select(frame,200,sample=True,panel=panel), seed 20260818 - the cases actually run"
vancomycin,C_sampled_200,200,0,0.0,0,,200,100.0,0,0,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,"the 200 cases drawn from B by DR.select(frame,200,sample=True,panel=panel), seed 20260818 - the cases actually run"
meropenem,D_supervisor_file_N3210_NOT_REPRODUCIBLE,3210,3181,99.1,3199,99.4,11,0.3,,,unknown - no producing script on disk,transcribed_verbatim_from_corrected/frequency_floor_enterobacterales.csv,"denominator 3,210 inferred algebraically (0/17 rows inconsistent at N=3210); frame NOT reproducible from inputs/ by any of 8 population definitions tested 18 Aug 2026; no producing script exists under /Users/shamzzzh/brain_run"
piperacillin-tazobactam,D_supervisor_file_N3210_NOT_REPRODUCIBLE,3210,2981,92.9,3149,94.7,61,1.9,,,unknown - no producing script on disk,transcribed_verbatim_from_corrected/frequency_floor_enterobacterales.csv,"denominator 3,210 inferred algebraically (0/17 rows inconsistent at N=3210); frame NOT reproducible from inputs/ by any of 8 population definitions tested 18 Aug 2026; no producing script exists under /Users/shamzzzh/brain_run"
gentamicin,D_supervisor_file_N3210_NOT_REPRODUCIBLE,3210,2839,88.4,3210,88.4,0,0.0,,,unknown - no producing script on disk,transcribed_verbatim_from_corrected/frequency_floor_enterobacterales.csv,"denominator 3,210 inferred algebraically (0/17 rows inconsistent at N=3210); frame NOT reproducible from inputs/ by any of 8 population definitions tested 18 Aug 2026; no producing script exists under /Users/shamzzzh/brain_run"
cefepime,D_supervisor_file_N3210_NOT_REPRODUCIBLE,3210,2812,87.6,3200,87.9,10,0.3,,,unknown - no producing script on disk,transcribed_verbatim_from_corrected/frequency_floor_enterobacterales.csv,"denominator 3,210 inferred algebraically (0/17 rows inconsistent at N=3210); frame NOT reproducible from inputs/ by any of 8 population definitions tested 18 Aug 2026; no producing script exists under /Users/shamzzzh/brain_run"
ceftazidime,D_supervisor_file_N3210_NOT_REPRODUCIBLE,3210,2808,87.5,3210,87.5,0,0.0,,,unknown - no producing script on disk,transcribed_verbatim_from_corrected/frequency_floor_enterobacterales.csv,"denominator 3,210 inferred algebraically (0/17 rows inconsistent at N=3210); frame NOT reproducible from inputs/ by any of 8 population definitions tested 18 Aug 2026; no producing script exists under /Users/shamzzzh/brain_run"
ceftriaxone,D_supervisor_file_N3210_NOT_REPRODUCIBLE,3210,2684,83.6,3202,83.8,8,0.2,,,unknown - no producing script on disk,transcribed_verbatim_from_corrected/frequency_floor_enterobacterales.csv,"denominator 3,210 inferred algebraically (0/17 rows inconsistent at N=3210); frame NOT reproducible from inputs/ by any of 8 population definitions tested 18 Aug 2026; no producing script exists under /Users/shamzzzh/brain_run"
ciprofloxacin,D_supervisor_file_N3210_NOT_REPRODUCIBLE,3210,2344,73.0,3210,73.0,0,0.0,,,unknown - no producing script on disk,transcribed_verbatim_from_corrected/frequency_floor_enterobacterales.csv,"denominator 3,210 inferred algebraically (0/17 rows inconsistent at N=3210); frame NOT reproducible from inputs/ by any of 8 population definitions tested 18 Aug 2026; no producing script exists under /Users/shamzzzh/brain_run"
trimethoprim-sulfamethoxazole,D_supervisor_file_N3210_NOT_REPRODUCIBLE,3210,2324,72.4,3181,73.1,29,0.9,,,unknown - no producing script on disk,transcribed_verbatim_from_corrected/frequency_floor_enterobacterales.csv,"denominator 3,210 inferred algebraically (0/17 rows inconsistent at N=3210); frame NOT reproducible from inputs/ by any of 8 population definitions tested 18 Aug 2026; no producing script exists under /Users/shamzzzh/brain_run"
cefazolin,D_supervisor_file_N3210_NOT_REPRODUCIBLE,3210,2020,62.9,2682,75.3,528,16.4,,,unknown - no producing script on disk,transcribed_verbatim_from_corrected/frequency_floor_enterobacterales.csv,"denominator 3,210 inferred algebraically (0/17 rows inconsistent at N=3210); frame NOT reproducible from inputs/ by any of 8 population definitions tested 18 Aug 2026; no producing script exists under /Users/shamzzzh/brain_run"
ampicillin-sulbactam,D_supervisor_file_N3210_NOT_REPRODUCIBLE,3210,1683,52.4,2771,60.7,439,13.7,,,unknown - no producing script on disk,transcribed_verbatim_from_corrected/frequency_floor_enterobacterales.csv,"denominator 3,210 inferred algebraically (0/17 rows inconsistent at N=3210); frame NOT reproducible from inputs/ by any of 8 population definitions tested 18 Aug 2026; no producing script exists under /Users/shamzzzh/brain_run"
ampicillin,D_supervisor_file_N3210_NOT_REPRODUCIBLE,3210,946,29.5,2103,45.0,1107,34.5,,,unknown - no producing script on disk,transcribed_verbatim_from_corrected/frequency_floor_enterobacterales.csv,"denominator 3,210 inferred algebraically (0/17 rows inconsistent at N=3210); frame NOT reproducible from inputs/ by any of 8 population definitions tested 18 Aug 2026; no producing script exists under /Users/shamzzzh/brain_run"
vancomycin,D_supervisor_file_N3210_NOT_REPRODUCIBLE,3210,123,3.8,146,84.2,3064,95.5,,,unknown - no producing script on disk,transcribed_verbatim_from_corrected/frequency_floor_enterobacterales.csv,"denominator 3,210 inferred algebraically (0/17 rows inconsistent at N=3210); frame NOT reproducible from inputs/ by any of 8 population definitions tested 18 Aug 2026; no producing script exists under /Users/shamzzzh/brain_run"
penicillin-g,D_supervisor_file_N3210_NOT_REPRODUCIBLE,3210,103,3.2,134,76.9,3076,95.8,,,unknown - no producing script on disk,transcribed_verbatim_from_corrected/frequency_floor_enterobacterales.csv,"denominator 3,210 inferred algebraically (0/17 rows inconsistent at N=3210); frame NOT reproducible from inputs/ by any of 8 population definitions tested 18 Aug 2026; no producing script exists under /Users/shamzzzh/brain_run"
daptomycin,D_supervisor_file_N3210_NOT_REPRODUCIBLE,3210,78,2.4,78,100.0,3132,97.6,,,unknown - no producing script on disk,transcribed_verbatim_from_corrected/frequency_floor_enterobacterales.csv,"denominator 3,210 inferred algebraically (0/17 rows inconsistent at N=3210); frame NOT reproducible from inputs/ by any of 8 population definitions tested 18 Aug 2026; no producing script exists under /Users/shamzzzh/brain_run"
levofloxacin,D_supervisor_file_N3210_NOT_REPRODUCIBLE,3210,60,1.9,79,75.9,3131,97.5,,,unknown - no producing script on disk,transcribed_verbatim_from_corrected/frequency_floor_enterobacterales.csv,"denominator 3,210 inferred algebraically (0/17 rows inconsistent at N=3210); frame NOT reproducible from inputs/ by any of 8 population definitions tested 18 Aug 2026; no producing script exists under /Users/shamzzzh/brain_run"
linezolid,D_supervisor_file_N3210_NOT_REPRODUCIBLE,3210,34,1.1,34,100.0,3176,98.9,,,unknown - no producing script on disk,transcribed_verbatim_from_corrected/frequency_floor_enterobacterales.csv,"denominator 3,210 inferred algebraically (0/17 rows inconsistent at N=3210); frame NOT reproducible from inputs/ by any of 8 population definitions tested 18 Aug 2026; no producing script exists under /Users/shamzzzh/brain_run"
oxacillin,D_supervisor_file_N3210_NOT_REPRODUCIBLE,3210,18,0.6,33,54.5,3177,99.0,,,unknown - no producing script on disk,transcribed_verbatim_from_corrected/frequency_floor_enterobacterales.csv,"denominator 3,210 inferred algebraically (0/17 rows inconsistent at N=3210); frame NOT reproducible from inputs/ by any of 8 population definitions tested 18 Aug 2026; no producing script exists under /Users/shamzzzh/brain_run"
